,ID,nom_scientifique,nom_commun,citation_doris,lien_fiche_doris,id_famille,taille_adulte_₋,taille_adulte_₊,profondeur_habituelle_-,profondeur_habituelle₊,Colonne_d_eau,reglementation,danger,mode_de_vie,entrainement_modele,A_entrainer,Cotes_françaises,Mediterranée,Atlantique,Manche,Mer du Nord,Pêche_commerciale
247,248,Chromis chromis,La castagnole," MARTIN Jérôme, FEY Laurent, PEAN Michel, LE BRIS Sylvain in : DORIS, 20/01/2021 : Chromis chromis (Linnaeus, 1758)",https://doris.ffessm.fr/ref/specie/739,57,8.0,10,5.0,15.0,près du fond,,,,,,,,,,,
257,258,Anthias anthias,Le barbier commun," CHEVALLIER Frédérik, LE GRANCHÉ Philippe in : DORIS, 01/11/2020 : Anthias anthias (Linnaeus, 1758)",https://doris.ffessm.fr/ref/specie/597,61,15.0,18,30.0,80.0,près du fond,,,,,,,,,,,
259,260,Serranus scriba,Le serran ecriture," DIDIERLAURENT Sylvie, CASTILLO Jean-Pierre, LAMARE Véronique in : DORIS, 19/04/2021 : Serranus scriba (Linnaeus, 1758)",https://doris.ffessm.fr/ref/specie/144,61,25.0,30,5.0,30.0,près du fond,,,,,,,,,,,
260,261,Serranus cabrilla,Le serran -chevrette," LAMARE Véronique, CASTILLO Jean-Pierre, PASTOR Jérémy in : DORIS, 19/04/2021 : Serranus cabrilla (Linnaeus, 1758)",https://doris.ffessm.fr/ref/specie/146,61,25.0,30,5.0,90.0,près du fond,,,,,,,,,,,
262,263,Epinephelus marginatus,Le mérou brun," ANDRÉ Frédéric, PASTOR Jérémy, HARMELIN Jean-Georges, PEAN Michel in : DORIS, 02/12/2022 : Epinephelus marginatus (Lowe, 1834)",https://doris.ffessm.fr/ref/specie/474,61,80.0,100,10.0,50.0,près du fond,,,,,,,,,,,
265,266,Epinephelus costae,La badèche," GUICHARD Benjamin, PETIT DE VOIZE Patrice, PASTOR Jérémy, JEGLOT Samuel in : DORIS, 15/05/2022 : Epinephelus costae (Steindachner, 1878)",https://doris.ffessm.fr/ref/specie/494,61,70.0,100,10.0,100.0,près du fond,,,,,,,,,,,
271,272,Apogon imberbis,L’apogon commun," POISOT Thimothée, DUCASSY Jean-Marie, SITTLER Alain-Pierre in : DORIS, 10/12/2020 : Apogon imberbis (Linnaeus, 1758)",https://doris.ffessm.fr/ref/specie/1084,63,10.0,12,5.0,50.0,près du fond,,,,,,,,,,,
276,277,Sciaena umbra,Le corb," PERRIER Philippe, ANDRÉ Frédéric, PEAN Michel in : DORIS, 30/10/2021 : Sciaena umbra Linnaeus, 1758",https://doris.ffessm.fr/ref/specie/101,64,35.0,40,10.0,30.0,près du fond,,,,,,,,,,,
285,286,Phycis phycis,La mostelle de roche," VIGNAUD Thomas, PERRIER Philippe, PASTOR Jérémy, PEAN Michel in : DORIS, 01/11/2021 : Phycis phycis (Linnaeus, 1766)",https://doris.ffessm.fr/ref/specie/264,52,40.0,50,20.0,100.0,près du fond,,,,,,,,,,,
292,293,Gadus morhua,La morue," LESSARD Marie-Pierre, CHAMBERLAND Suzie, MASSON Stéphane, FEY Laurent in : DORIS, 01/04/2023 : Gadus morhua (Linnaeus, 1758)",https://doris.ffessm.fr/ref/specie/867,52,50.0,100,30.0,200.0,près du fond,,,,,,,,,,,
